SN,X,Y,Zn,Pb,Ag,Cu,Mo,Cr,Ni,Co,Ba
14,427133.87,3317762.21,52,18,0.02,74,2,110,37,24,508
15,425275.87,3318306.63,43,12,0.02,50,2,136,41,21,329
16,420517.71,3315258.87,69,17,0.02,54,1,72,41,22,411
17,423023.67,3316271.8,70,13,0.02,38,1,67,39,24,312
18,424479.1,3316029.05,61,15,0.02,53,1,80,48,25,339
19,423442.84,3314085.87,45,22,0.02,45,1,70,44,17,562
20,423245.96,3313511.04,45,19,0.02,92,1,37,30,17,710
21,423551.83,3313076.68,53,19,0.02,37,1,54,33,15,616
22,424265.72,3313082.76,40,19,0.02,85,1,49,39,22,760
23,420968.08,3313482.68,88,17,0.02,62,1,54,55,28,342
