SN,X,Y,Zn,Pb,Ag,Cu,Mo,Cr,Ni,Co,Ba
233,416178.3553,3292595.287,21,6,0.02,38,2,104,22,32,531
234,414654.51,3294357.81,99,11,0.02,35,2,83,26,38,428
235,415876.46,3294869.33,43,11,0.02,62,2,78,40,44,443
236,416785.71,3294951.28,34,13,0.02,39,2,104,17,18,411
237,416598.62,3295772.57,34,12,0.02,45,2,162,41,40,383
238,414645.18,3295643.42,77,21,0.02,53,2,92,30,41,360
239,421141.68,3302576.96,53,10,0.02,60,1,58,42,52,464
240,407444.41,3295745.27,32,15,0.02,45,1,62,26,36,471
241,407261.34,3293508.15,76,17,0.02,35,2,66,31,38,493
242,406330.47,3293161.25,29,10,0.02,34,1,86,13,29,413
243,409229.4,3294145.73,48,21,0.02,49,1,74,55,53,573
244,410759.76,3296937.21,40,13,0.02,56,2,36,20,34,415
245,411810.67,3299045.51,53,8,0.02,61,1,66,37,47,299
246,411763.8,3298015.23,63,15,0.02,74,2,86,54,58,399
247,412689.97,3296567.24,106,12,0.02,61,1,76,44,53,321
249,410990.41,3294331.07,69,21,0.02,45,1,99,59,29,435
250,411569.61,3293007.73,79,13,0.02,51,2,65,37,25,423
251,419280.93,3303111.13,90,16,0.02,58,2,51,43,29,400
252,418501.43,3303493.68,77,18,0.02,68,2,64,47,29,446
253,417971.82,3301081.64,69,14,0.02,63,2,81,41,27,351
254,417550.96,3299045.69,109,18,0.02,69,2,104,66,34,385
255,416041.02,3298746.69,89,14,0.02,61,2,83,43,27,318
256,414614.38,3300475.33,113,15,0.02,72,2,78,48,33,467
257,413559.89,3299053.77,92,14,0.02,73,1,60,48,30,380
258,423054.28,3292767.47,154,30,0.02,54,2,65,35,26,439
259,424400.1,3293090.75,395,58,0.02,55,2,81,106,24,531
260,422508.91,3293635.51,381,103,0.02,58,2,129,67,32,784
